Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date
OM302317,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,a2153_Spain/2018/LO-l_Caceres,Orthoflavivirus nilense,10932,complete,"Spain: Caceres, Extremadura",Spain,,Athene noctua,lung,2018
OM302318,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,101279_Spain/2018/LO-h/2V_Caceres,Orthoflavivirus nilense,10932,complete,"Spain: Caceres, Extremadura",Spain,,Athene noctua,heart,2018
OM302319,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,3963_Spain/2017/GE-b/2V_Toledo,Orthoflavivirus nilense,10932,complete,"Spain: Toledo, Castilla-La Mancha",Spain,,Aquila chrysaetos,brain,2017
OM302320,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,2500_Spain/2016/H-b/2V_Seville,Orthoflavivirus nilense,10932,complete,"Spain: Seville, Andalusia",Spain,,Equus caballus,brain,2016
OM302321,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,2500_Spain/2016/H-b_Seville,Orthoflavivirus nilense,10979,complete,"Spain: Seville, Andalusia",Spain,,Equus caballus,brain,2016
OM302324,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,2439_Spain/2016/D-f_Seville,Orthoflavivirus nilense,10932,complete,"Spain: Seville, Andalusia",Spain,,Anatidae,,2016
PQ641624,West Nile virus,GenBank,,"Busquets,N.","Irta-Cresa, Arbovirus and Mosquito Vectors",Spain,1/26/25,AC1720,Orthoflavivirus nilense,10312,complete,Spain,Spain,,Larus michahellis,brain,7/28/23
OP713601,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,1/24/25,SPA-E-2020-05_Spain/2020/H-b/4V_Cadiz,Orthoflavivirus nilense,10931,complete,"Spain: Cadiz, Andalusia",Spain,,Equus caballus,brain,2020
OP713602,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,1/24/25,SPA-E-2020-02_Spain/2020/H-b/3V_Seville,Orthoflavivirus nilense,10931,complete,"Spain: Seville, Andalusia",Spain,,Equus caballus,brain,2020
OP713603,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,1/24/25,SPA-E-2020-01_Spain/2020/CV-b/3V_Cadiz,Orthoflavivirus nilense,10963,complete,"Spain: Cadiz, Andalusia",Spain,,Aegypius monachus,brain,2020
PQ679039,West Nile virus,GenBank,,"Vorovitch,M.F., Tuchynskaya,K.K., Kruglov,Y.A., Peunkov,N.S., Mostipanova,G.F., Kholodilov,I.S., Ivanova,A.L., Fedina,M.P., Gmyl,L.V., Morozkin,E.S., Roev,G.V., Karan,L.S., Karganova,G.G.","Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products of RAS, Laboratory of biology of arboviruses",Russia,1/18/25,,Orthoflavivirus nilense,10912,complete,Russia: Moscow,Russia,,Homo sapiens,blood,2021
PQ450190,West Nile virus,GenBank,,"Gondard,M., Gonzalez,G., Blanchard,Y., Tasset,M., Lucas,P., Niczyporuk,J.S.","ANSES, LSAN, UMR VIROLOGIE",France,11/12/24,POL2/Poland/2024,Orthoflavivirus nilense,11019,complete,Poland,Poland,,Corvus cornix,swab,7/26/24
PQ450191,West Nile virus,GenBank,,"Gondard,M., Gonzalez,G., Blanchard,Y., Tasset,M., Lucas,P., Niczyporuk,J.S.","ANSES, LSAN, UMR VIROLOGIE",France,11/12/24,POL3/Poland/2025,Orthoflavivirus nilense,11006,complete,Poland,Poland,,Corvus cornix,swab,7/26/24
PQ450192,West Nile virus,GenBank,,"Gondard,M., Gonzalez,G., Blanchard,Y., Tasset,M., Lucas,P., Niczyporuk,J.S.","ANSES, LSAN, UMR VIROLOGIE",France,11/12/24,POL6/Poland/2026,Orthoflavivirus nilense,11019,complete,Poland,Poland,,Corvus cornix,swab,7/26/24
PQ450193,West Nile virus,GenBank,,"Gondard,M., Gonzalez,G., Blanchard,Y., Tasset,M., Lucas,P., Niczyporuk,J.S.","ANSES, LSAN, UMR VIROLOGIE",France,11/12/24,POL7/Poland/2027,Orthoflavivirus nilense,11019,complete,Poland,Poland,,Corvus cornix,swab,7/26/24
PP524755,West Nile virus,GenBank,,"Dinu,S., Stancu,I.G., Cotar,A.I., Ceianu,C.S., Pintilie,G.V., Karpathakis,I., Falcuta,E., Csutak,O., Prioteasa,F.L., Tiron,G.V.","National Military Medical Institute for Research and Development, Molecular Epidemiology for Communicable Diseases Laboratory",Romania,10/25/24,RO_moR23-25/2023,Orthoflavivirus nilense,10825,complete,Romania,Romania,,Culex pipiens,pooled insects,2023
PP524756,West Nile virus,GenBank,,"Dinu,S., Stancu,I.G., Cotar,A.I., Ceianu,C.S., Pintilie,G.V., Karpathakis,I., Falcuta,E., Csutak,O., Prioteasa,F.L., Tiron,G.V.","National Military Medical Institute for Research and Development, Molecular Epidemiology for Communicable Diseases Laboratory",Romania,10/25/24,RO_moR23-57/2023,Orthoflavivirus nilense,10947,complete,Romania,Romania,,Culex pipiens,pooled insects,2023
LC817237,West Nile virus,GenBank,,"Kobayashi,H., Chambaro,H., Tabata,K., Ariizumi,T., Phongphaew,W., Ndashe,K., Ndebe,J., Paul,F., Kobayashi,S., Ito,N., Sasaki,M., Hang'ombe,B.M., Simulundu,E., Orba,Y., Sawa,H.","Hokkaido University, Division of Molecular Pathobiology; North 20, West 10 Kita-ku, Sapporo, Hokkaido 001-0020",Japan,7/24/24,Croc110_2019_1_ZM,Orthoflavivirus nilense,11024,complete,Zambia,Zambia,,Crocodylus niloticus,,2019
LC802098,West Nile virus,GenBank,,"Tajima,S., Lim,C.K.","Department of Virology I; 1-23-1, Shinjuku, Tokyo 162-8640",Japan,3/9/24,Kunjin virus/Mosquito/Australia/OR393/1974,Orthoflavivirus nilense,10975,complete,Australia,Australia,,Culex annulirostris,,1974
LC802099,West Nile virus,GenBank,,"Tajima,S., Lim,C.K.","Department of Virology I; 1-23-1, Shinjuku, Tokyo 162-8640",Japan,3/9/24,Kunjin virus/Mosquito/Australia/OR393/1974,Orthoflavivirus nilense,10975,complete,Australia,Australia,,Culex annulirostris,,1974
PP212878,West Nile virus,GenBank,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2/3/24,3717_2023_WNV_HU,Orthoflavivirus nilense,11009,complete,Hungary: Balkany,Hungary,,Homo sapiens,urine,2023
PP212879,West Nile virus,GenBank,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2/3/24,3919_2023_WNV_HU,Orthoflavivirus nilense,11000,complete,Hungary: Budapest,Hungary,,Homo sapiens,urine,2023
PP212880,West Nile virus,GenBank,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2/3/24,4429_2023_WNV_HU,Orthoflavivirus nilense,11003,complete,Hungary: Zakanyszek,Hungary,,Homo sapiens,urine,2023
PP212881,West Nile virus,GenBank,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2/3/24,4106_2023_WNV_HU,Orthoflavivirus nilense,10994,complete,Hungary: Szeged,Hungary,,Homo sapiens,urine,2023
PP212882,West Nile virus,GenBank,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2/3/24,5226_2023_WNV_HU,Orthoflavivirus nilense,10997,complete,Hungary: Budapest,Hungary,,Homo sapiens,urine,2023
PP212883,West Nile virus,GenBank,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2/3/24,5903_2023_WNV_HU,Orthoflavivirus nilense,10991,complete,Hungary: Algyo,Hungary,,Homo sapiens,urine,2023
PP104329,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.13830.2.8,Orthoflavivirus nilense,10975,complete,Italy: EmiliaRomagna,Italy,,Corvidae,,7/15/23
PP104330,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.15714.2.2,Orthoflavivirus nilense,10887,complete,Italy: Lombardia,Italy,,Culex pipiens,,7/15/23
PP104332,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.19667.2.2,Orthoflavivirus nilense,10945,complete,Italy: EmiliaRomagna,Italy,,Corvidae,,7/28/23
PP104333,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.19667.2.3,Orthoflavivirus nilense,11020,complete,Italy: Lombardia,Italy,,Accipiter gentilis,,8/10/23
PP104334,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.19667.2.4,Orthoflavivirus nilense,10954,complete,Italy: Lombardia,Italy,,Corvus,,8/10/23
PP104335,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.19667.2.5,Orthoflavivirus nilense,10951,complete,Italy: EmiliaRomagna,Italy,,Corvidae,,8/11/23
PP104336,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.19667.2.6,Orthoflavivirus nilense,10834,complete,Italy: Lombardia,Italy,,Strigidae,,8/17/23
PP104337,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.19667.2.8,Orthoflavivirus nilense,10792,complete,Italy: Lombardia,Italy,,Corvidae,,8/17/23
PP104338,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.10,Orthoflavivirus nilense,10920,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,7/26/23
PP104339,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.12,Orthoflavivirus nilense,10918,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,7/28/23
PP104341,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.15,Orthoflavivirus nilense,10949,complete,Italy: Lombardia,Italy,,Culex pipiens,,7/28/23
PP104343,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.2,Orthoflavivirus nilense,10907,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,7/11/23
PP104344,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.5,Orthoflavivirus nilense,10638,complete,Italy: Sardegna,Italy,,Corvus,,7/20/23
PP104345,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.6,Orthoflavivirus nilense,10952,complete,Italy: Piemonte,Italy,,Culex pipiens,,7/26/23
PP104346,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.7,Orthoflavivirus nilense,10833,complete,Italy: Lombardia,Italy,,Culex pipiens,,7/26/23
PP104347,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.20709.2.8,Orthoflavivirus nilense,10909,complete,Italy: EmiliaRomagna,Italy,,Corvidae,,7/26/23
PP104349,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21942.1.1,Orthoflavivirus nilense,10958,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104350,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21946.1.1,Orthoflavivirus nilense,10909,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104351,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21952.1.1,Orthoflavivirus nilense,10949,complete,Italy: Friuli,Italy,,Culex pipiens,,8/11/23
PP104352,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21954.1.1,Orthoflavivirus nilense,10919,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104353,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21959.1.1,Orthoflavivirus nilense,10944,complete,Italy: Lombardia,Italy,,Corvus,,8/17/23
PP104354,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21960.1.1,Orthoflavivirus nilense,10800,complete,Italy: Veneto,Italy,,Culex pipiens,,8/11/23
PP104355,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21969.1.1,Orthoflavivirus nilense,10933,complete,Italy: EmiliaRomagna,Italy,,Columbidae,,8/11/23
PP104356,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21980.1.1,Orthoflavivirus nilense,10919,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104357,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21981.1.1,Orthoflavivirus nilense,10919,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104358,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21982.1.1,Orthoflavivirus nilense,10977,complete,Italy: Lombardia,Italy,,Corvus,,8/17/23
PP104359,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21986.1.1,Orthoflavivirus nilense,10919,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104360,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.21987.1.1,Orthoflavivirus nilense,10919,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104361,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23004.1.1,Orthoflavivirus nilense,10946,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/11/23
PP104362,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23005.1.1,Orthoflavivirus nilense,10932,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/9/23
PP104363,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23006.1.1,Orthoflavivirus nilense,10915,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/4/23
PP104364,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23007.1.1,Orthoflavivirus nilense,11017,complete,Italy: Lombardia,Italy,,Culex pipiens,,8/4/23
PP104365,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23008.1.1,Orthoflavivirus nilense,10908,complete,Italy: Lombardia,Italy,,Culex pipiens,,8/4/23
PP104366,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23009.1.1,Orthoflavivirus nilense,10935,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/9/23
PP104367,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23010.1.1,Orthoflavivirus nilense,10933,complete,Italy: Piemonte,Italy,,Corvus,,8/9/23
PP104368,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23012.1.1,Orthoflavivirus nilense,10919,complete,Italy: EmiliaRomagna,Italy,,Culex pipiens,,8/9/23
PP104369,West Nile virus,GenBank,,"Monaco,F., Valleriani,F., Teodori,L., Amatori,G., Marcacci,M., Savini,G.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,2/2/24,TE.23014.1.1,Orthoflavivirus nilense,10911,complete,Italy: Veneto,Italy,,Culex pipiens,,8/9/23
